Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2017/2018,2017,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBC/B,73.75,3.69
2016/2017,2016,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBB/C,75,3.68
2015/2016,2015,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBB/C,75,3.7
2014/2015,2014,National University of Singapore,Faculty of Engineering,Electrical Engineering,BCC/B,71.25,3.74
2013/2014,2013,National University of Singapore,Faculty of Engineering,Electrical Engineering,BCC/B,71.25,3.69
2012/2013,2012,National University of Singapore,Faculty of Engineering,Electrical Engineering,BCC/B,71.25,3.78
2011/2012,2011,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBC/B,73.75,3.73
2010/2011,2010,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBB/C,75,3.67
2009/2010,2009,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBB/C,75,3.63
2008/2009,2008,National University of Singapore,Faculty of Engineering,Electrical Engineering,BBB/C,75,3.55
2019/2020,2019,National University of Singapore,Faculty of Engineering,Environmental Engineering,BCC/B,71.25,3.57
2018/2019,2018,National University of Singapore,Faculty of Engineering,Environmental Engineering,BCC/B,71.25,3.59
2017/2018,2017,National University of Singapore,Faculty of Engineering,Environmental Engineering,BBC/B,73.75,3.69
2016/2017,2016,National University of Singapore,Faculty of Engineering,Environmental Engineering,BBB/C,75,3.71
2015/2016,2015,National University of Singapore,Faculty of Engineering,Environmental Engineering,BBC/B,73.75,3.69
2014/2015,2014,National University of Singapore,Faculty of Engineering,Environmental Engineering,BBC/B,73.75,3.72
2013/2014,2013,National University of Singapore,Faculty of Engineering,Environmental Engineering,BCC/B,71.25,3.66
2012/2013,2012,National University of Singapore,Faculty of Engineering,Environmental Engineering,BBB/C,75,3.74
2011/2012,2011,National University of Singapore,Faculty of Engineering,Environmental Engineering,AAA/C,82.5,3.74
2010/2011,2010,National University of Singapore,Faculty of Engineering,Environmental Engineering,AAA/C,82.5,3.66
2009/2010,2009,National University of Singapore,Faculty of Engineering,Environmental Engineering,AAA/A,85,3.67
2008/2009,2008,National University of Singapore,Faculty of Engineering,Environmental Engineering,AAA/A,85,3.67
2019/2020,2019,National University of Singapore,Faculty of Engineering,Engineering Science,BCC/C,70,3.83
2018/2019,2018,National University of Singapore,Faculty of Engineering,Engineering Science,BBC/B,73.75,No Data
2017/2018,2017,National University of Singapore,Faculty of Engineering,Engineering Science,BBB/B,76.25,No Data
2016/2017,2016,National University of Singapore,Faculty of Engineering,Engineering Science,AAB/B,81.25,3.86
2015/2016,2015,National University of Singapore,Faculty of Engineering,Engineering Science,BBB/C,75,3.92
2014/2015,2014,National University of Singapore,Faculty of Engineering,Engineering Science,BBC/C,72.5,3.91
2013/2014,2013,National University of Singapore,Faculty of Engineering,Engineering Science,BBC/C,72.5,No Data
2012/2013,2012,National University of Singapore,Faculty of Engineering,Engineering Science,BBB/C,75,No Data
2011/2012,2011,National University of Singapore,Faculty of Engineering,Engineering Science,BBB/B,76.25,No Data
2010/2011,2010,National University of Singapore,Faculty of Engineering,Engineering Science,ABB/C,77.5,No Data
2009/2010,2009,National University of Singapore,Faculty of Engineering,Engineering Science,AAB/C,80,No Data
2008/2009,2008,National University of Singapore,Faculty of Engineering,Engineering Science,BBB/A,77.5,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,BCC/B,71.25,No Data
2018/2019,2018,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,BBC/C,72.5,No Data
2017/2018,2017,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,BBB/B,76.25,No Data
2016/2017,2016,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAB/C,80,3.94
2015/2016,2015,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,ABB/C,77.5,No Data
2014/2015,2014,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,ABB/B,78.75,No Data
2013/2014,2013,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,ABB/B,78.75,No Data
2012/2013,2012,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAB/B,81.25,No Data
2011/2012,2011,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAA/B,83.75,No Data
2010/2011,2010,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAA/B,83.75,No Data
2009/2010,2009,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAA/A,85,3.79
2008/2009,2008,National University of Singapore,Faculty of Engineering,Industrial & Systems Engineering,AAA/A,85,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,CCC/C,67.5,3.76
2018/2019,2018,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BCC/B,71.25,3.74
2017/2018,2017,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BBC/C,72.5,No Data
2016/2017,2016,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BBB/B,76.25,3.89
2015/2016,2015,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BBC/B,73.75,3.94
2014/2015,2014,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BBC/B,73.75,3.85
2013/2014,2013,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,BCC/B,71.25,No Data
2012/2013,2012,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,AAB/B,81.25,No Data
2011/2012,2011,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,AAB/B,81.25,No Data
2010/2011,2010,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,ABB/C,77.5,No Data
2009/2010,2009,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,AAA/C,82.5,No Data
2008/2009,2008,National University of Singapore,Faculty of Engineering,Materials Science & Engineering,AAA/A,85,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BCC/B,71.25,3.65
2018/2019,2018,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BCC/B,71.25,3.66
2017/2018,2017,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BBB/C,75,3.8
2016/2017,2016,National University of Singapore,Faculty of Engineering,Mechanical Engineering,AAB/C,80,3.81
2015/2016,2015,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BBB/B,76.25,3.83
2014/2015,2014,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BBB/B,76.25,3.89
2013/2014,2013,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BCC/B,71.25,3.75
2012/2013,2012,National University of Singapore,Faculty of Engineering,Mechanical Engineering,ABB/C,77.5,3.86
2011/2012,2011,National University of Singapore,Faculty of Engineering,Mechanical Engineering,ABB/C,77.5,3.86
2010/2011,2010,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BBB/C,75,3.79
2009/2010,2009,National University of Singapore,Faculty of Engineering,Mechanical Engineering,ABB/B,78.75,3.68
2008/2009,2008,National University of Singapore,Faculty of Engineering,Mechanical Engineering,BBB/A,77.5,3.64
2019/2020,2019,National University of Singapore,School of Computing,Computing (Business Analytics),AAA/A,85,3.81
2018/2019,2018,National University of Singapore,School of Computing,Computing (Business Analytics),AAA/B,83.75,3.73
2017/2018,2017,National University of Singapore,School of Computing,Computing (Business Analytics),AAA/A,85,3.81
2016/2017,2016,National University of Singapore,School of Computing,Computing (Business Analytics),AAA/A,85,3.9
2015/2016,2015,National University of Singapore,School of Computing,Computing (Business Analytics),AAA/A,85,3.81
2014/2015,2014,National University of Singapore,School of Computing,Computing (Business Analytics),AAB/B,81.25,3.84
2013/2014,2013,National University of Singapore,School of Computing,Computing (Business Analytics),AAB/B,81.25,3.68
2012/2013,2012,National University of Singapore,School of Computing,Computing (Business Analytics),No Data,No Data,No Data
2011/2012,2011,National University of Singapore,School of Computing,Computing (Business Analytics),No Data,No Data,No Data
2010/2011,2010,National University of Singapore,School of Computing,Computing (Business Analytics),No Data,No Data,No Data
2009/2010,2009,National University of Singapore,School of Computing,Computing (Business Analytics),No Data,No Data,No Data
2008/2009,2008,National University of Singapore,School of Computing,Computing (Business Analytics),No Data,No Data,No Data
2019/2020,2019,National University of Singapore,School of Computing,Computing (Computer Science),AAA/A,85,3.86
2018/2019,2018,National University of Singapore,School of Computing,Computing (Computer Science),AAA/B,83.75,3.74
2017/2018,2017,National University of Singapore,School of Computing,Computing (Computer Science),AAA/A,85,3.77
2016/2017,2016,National University of Singapore,School of Computing,Computing (Computer Science),AAA/A,85,3.75
2015/2016,2015,National University of Singapore,School of Computing,Computing (Computer Science),AAA/A,85,3.74
2014/2015,2014,National University of Singapore,School of Computing,Computing (Computer Science),AAA/C,82.5,3.65
2013/2014,2013,National University of Singapore,School of Computing,Computing (Computer Science),BBB/C,75,3.61
2012/2013,2012,National University of Singapore,School of Computing,Computing (Computer Science),BBC/C,72.5,3.67
2011/2012,2011,National University of Singapore,School of Computing,Computing (Computer Science),BBB/B,76.25,3.66
2010/2011,2010,National University of Singapore,School of Computing,Computing (Computer Science),ABB/B,78.75,3.63
2009/2010,2009,National University of Singapore,School of Computing,Computing (Computer Science),BBB/C,75,3.58
2008/2009,2008,National University of Singapore,School of Computing,Computing (Computer Science),BCC/B,71.25,3.54
2019/2020,2019,National University of Singapore,School of Computing,Computing (Information Security),AAA/A,85,3.84
2018/2019,2018,National University of Singapore,School of Computing,Computing (Information Security),AAA/B,83.75,3.76
2017/2018,2017,National University of Singapore,School of Computing,Computing (Information Security),AAA/A,85,3.82
2016/2017,2016,National University of Singapore,School of Computing,Computing (Information Security),AAB/B,81.25,3.73
2015/2016,2015,National University of Singapore,School of Computing,Computing (Information Security),AAA/B,83.75,No Data
2014/2015,2014,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2013/2014,2013,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2012/2013,2012,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2011/2012,2011,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2010/2011,2010,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2009/2010,2009,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2008/2009,2008,National University of Singapore,School of Computing,Computing (Information Security),No Data,No Data,No Data
2019/2020,2019,National University of Singapore,School of Computing,Computing (Information Systems),AAA/A,85,3.82
2018/2019,2018,National University of Singapore,School of Computing,Computing (Information Systems),AAA/C,82.5,3.61
2017/2018,2017,National University of Singapore,School of Computing,Computing (Information Systems),AAB/B,81.25,3.65
2016/2017,2016,National University of Singapore,School of Computing,Computing (Information Systems),AAB/C,80,3.63
2015/2016,2015,National University of Singapore,School of Computing,Computing (Information Systems),AAA/B,83.75,3.67
2014/2015,2014,National University of Singapore,School of Computing,Computing (Information Systems),AAB/B,81.25,3.7
2013/2014,2013,National University of Singapore,School of Computing,Computing (Information Systems),AAB/B,81.25,3.59
2012/2013,2012,National University of Singapore,School of Computing,Computing (Information Systems),BBB/C,75,3.65
2011/2012,2011,National University of Singapore,School of Computing,Computing (Information Systems),BBB/B,76.25,3.74
2010/2011,2010,National University of Singapore,School of Computing,Computing (Information Systems),ABB/C,77.5,3.66
2009/2010,2009,National University of Singapore,Faculty of Engineering & School of Computing,Computing (Information Systems),No Data,No Data,No Data
