Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2012/2013,2012,Nanyang Technological University,National Institute of Education,Science (Education),BCC/B,71.25,3.3
2011/2012,2011,Nanyang Technological University,National Institute of Education,Science (Education),No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,National Institute of Education,Science (Education),No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,National Institute of Education,Science (Education),No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,National Institute of Education,Science (Education),No Data,No Data,No Data
2019/2020,2019,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.68
2018/2019,2018,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.7
2017/2018,2017,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.7
2016/2017,2016,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.72
2015/2016,2015,Singapore Management University,Business Management,Business Management,BBB/B,76.25,3.7
2014/2015,2014,Singapore Management University,Business Management,Business Management,BBB/B,76.25,3.71
2013/2014,2013,Singapore Management University,Business Management,Business Management,BBB/B,76.25,3.72
2012/2013,2012,Singapore Management University,Business Management,Business Management,BBB/B,76.25,3.72
2011/2012,2011,Singapore Management University,Business Management,Business Management,ABB/B,78.75,3.71
2010/2011,2010,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.62
2009/2010,2009,Singapore Management University,Business Management,Business Management,ABB/C,77.5,3.52
2008/2009,2008,Singapore Management University,Business Management,Business Management,ABB/B,78.75,3.49
2019/2020,2019,Singapore Management University,Law,Law,AAA/A,85,No Data
2018/2019,2018,Singapore Management University,Law,Law,AAA/A,85,No Data
2017/2018,2017,Singapore Management University,Law,Law,AAA/A,85,No Data
2016/2017,2016,Singapore Management University,Law,Law,AAA/A,85,No Data
2015/2016,2015,Singapore Management University,Law,Law,AAA/A,85,No Data
2014/2015,2014,Singapore Management University,Law,Law,AAA/A,85,No Data
2013/2014,2013,Singapore Management University,Law,Law,AAA/A,85,No Data
2012/2013,2012,Singapore Management University,Law,Law,AAA/A,85,No Data
2011/2012,2011,Singapore Management University,Law,Law,AAA/A,85,No Data
2010/2011,2010,Singapore Management University,Law,Law,AAA/A,85,No Data
2009/2010,2009,Singapore Management University,Law,Law,AAA/A,85,No Data
2008/2009,2008,Singapore Management University,Law,Law,AAA/B,83.75,No Data
2019/2020,2019,Singapore Management University,Economics,Economics,BBC/A,75,3.69
2018/2019,2018,Singapore Management University,Economics,Economics,BBC/B,73.75,3.7
2017/2018,2017,Singapore Management University,Economics,Economics,BBC/B,73.75,3.7
2016/2017,2016,Singapore Management University,Economics,Economics,BBC/B,73.75,3.72
2015/2016,2015,Singapore Management University,Economics,Economics,BBC/C,72.5,3.71
2014/2015,2014,Singapore Management University,Economics,Economics,BBC/B,73.75,3.72
2013/2014,2013,Singapore Management University,Economics,Economics,BBC/C,72.5,3.71
2012/2013,2012,Singapore Management University,Economics,Economics,BBC/C,72.5,3.7
2011/2012,2011,Singapore Management University,Economics,Economics,AAB/C,80,3.6
2010/2011,2010,Singapore Management University,Economics,Economics,AAB/B,81.25,3.55
2009/2010,2009,Singapore Management University,Economics,Economics,ABB/C,77.5,3.52
2008/2009,2008,Singapore Management University,Economics,Economics,BBB/B,76.25,3.3
2019/2020,2019,Singapore Management University,Information Systems Management,Information Systems Management,BBC/B,73.75,3.57
2018/2019,2018,Singapore Management University,Information Systems Management,Information Systems Management,BBC/B,73.75,3.52
2017/2018,2017,Singapore Management University,Information Systems Management,Information Systems Management,BBC/B,73.75,3.57
2016/2017,2016,Singapore Management University,Information Systems Management,Information Systems Management,BBC/C,72.5,3.54
2015/2016,2015,Singapore Management University,Information Systems Management,Information Systems Management,BCC/C,70,3.5
2014/2015,2014,Singapore Management University,Information Systems Management,Information Systems Management,BCC/D,68.75,3.52
2013/2014,2013,Singapore Management University,Information Systems Management,Information Systems Management,BCC/C,70,3.53
2012/2013,2012,Singapore Management University,Information Systems Management,Information Systems Management,BCC/C,70,3.53
2011/2012,2011,Singapore Management University,Information Systems Management,Information Systems Management,BCC/B,71.25,3.52
2010/2011,2010,Singapore Management University,Information Systems Management,Information Systems Management,BCC/C,70,3.44
2009/2010,2009,Singapore Management University,Information Systems Management,Information Systems Management,BCC/C,70,3.23
2008/2009,2008,Singapore Management University,Information Systems Management,Information Systems Management,BCC/B,71.25,3.16
2019/2020,2019,Singapore Management University,Computer Science,Computer Science,AAB/B,81.25,3.75
2018/2019,2018,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2017/2018,2017,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2016/2017,2016,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2015/2016,2015,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2014/2015,2014,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2013/2014,2013,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2012/2013,2012,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2011/2012,2011,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2010/2011,2010,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2009/2010,2009,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2008/2009,2008,Singapore Management University,Computer Science,Computer Science,No Data,No Data,No Data
2019/2020,2019,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.66
2018/2019,2018,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.7
2017/2018,2017,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.7
2016/2017,2016,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.71
2015/2016,2015,Singapore Management University,Social Sciences,Social Sciences,BBC/C,72.5,3.71
2014/2015,2014,Singapore Management University,Social Sciences,Social Sciences,BBC/C,72.5,3.7
2013/2014,2013,Singapore Management University,Social Sciences,Social Sciences,BBC/C,72.5,3.72
2012/2013,2012,Singapore Management University,Social Sciences,Social Sciences,BBC/C,72.5,3.61
2011/2012,2011,Singapore Management University,Social Sciences,Social Sciences,BBB/C,75,3.63
2010/2011,2010,Singapore Management University,Social Sciences,Social Sciences,BBB/B,76.25,3.54
2009/2010,2009,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.35
2008/2009,2008,Singapore Management University,Social Sciences,Social Sciences,BBC/B,73.75,3.28
